Opened file nc135_sresa2.nc: dimensions = 2, variables = 4, global atts. = 4, id = 4
Global attribute 0: description, size = 49 NC_CHAR, value = minimum SEDs, generated by ipccpostproc_regrid2.m
Global attribute 1: author, size = 21 NC_CHAR, value = Jack Williams, U Wisc
Global attribute 2: date, size = 11 NC_CHAR, value = 01-Feb-2007
Global attribute 3: history, size = 694 NC_CHAR, value = Thu Feb  1 11:38:21 2007: ncwa -O -a time -v bdis -m bdis114sresa2 -M 0.0000001 -o gt junkV3.nc junkV3b.nc
Thu Feb  1 11:38:21 2007: ncrename -v BDISRGMASK,bdis114sresa2 junkV3.nc
Thu Feb  1 11:38:20 2007: ncks -A -v BDISRGMASK output/ncout/junk114.nc junkV3.nc
Thu Feb  1 11:38:17 2007: ncrename -d TIME1,time -d LAT,lat -d LON,lon output/ncout/junk114.nc
Tue Nov 29 13:06:43 2005: ncea --ovr nc114_csiro_sresa2_bdisrg.nc nc114_giss_sresa2_bdisrg.nc nc114_gfdl_sresa2_bdisrg.nc nc114_ccsm3_sresa2_bdisrg.nc nc114_ipsl_sresa2_bdisrg.nc nc114_mri_sresa2_bdisrg.nc nc114_mpi_sresa2_bdisrg.nc nc114_ukmo_sresa2_bdisrg.nc nc114_pcm1_sresa2_bdisrg.nc nc114_sresa2_bdisrg.nc
FERRET V5.50   29-Nov-05

lat[0]=-87.8637988392 lon[0]=0 bdis[0]=1e+19 
lat[0]=-87.8637988392 lon[1]=2.8125 bdis[1]=1e+19 
lat[0]=-87.8637988392 lon[2]=5.625 bdis[2]=1e+19 
lat[0]=-87.8637988392 lon[3]=8.4375 bdis[3]=1e+19 
lat[0]=-87.8637988392 lon[4]=11.25 bdis[4]=1e+19 
lat[0]=-87.8637988392 lon[5]=14.0625 bdis[5]=1e+19 
lat[0]=-87.8637988392 lon[6]=16.875 bdis[6]=1e+19 
lat[0]=-87.8637988392 lon[7]=19.6875 bdis[7]=1e+19 
lat[0]=-87.8637988392 lon[8]=22.5 bdis[8]=1e+19 
lat[0]=-87.8637988392 lon[9]=25.3125 bdis[9]=1e+19 
lat[0]=-87.8637988392 lon[10]=28.125 bdis[10]=1e+19 
lat[0]=-87.8637988392 lon[11]=30.9375 bdis[11]=1e+19 
lat[0]=-87.8637988392 lon[12]=33.75 bdis[12]=1e+19 
lat[0]=-87.8637988392 lon[13]=36.5625 bdis[13]=1e+19 
lat[0]=-87.8637988392 lon[14]=39.375 bdis[14]=1e+19 
lat[0]=-87.8637988392 lon[15]=42.1875 bdis[15]=1e+19 
lat[0]=-87.8637988392 lon[16]=45 bdis[16]=1e+19 
lat[0]=-87.8637988392 lon[17]=47.8125 bdis[17]=1e+19 
